Tempo (s),Força de arrasto (N)
0.01,-3.237e-8
0.02,1.457e-5
0.03,3.909e-4
0.04,0.002
0.05,0.006
0.06,0.011
0.07,0.019
0.08,0.027
0.09,0.038
0.1,0.05
0.11,0.063
0.12,0.076
0.13,0.091
0.14,0.107
0.15,0.124
0.16,0.141
0.17,0.158
0.18,0.176
0.19,0.195
0.2,0.213
0.21,0.234
0.22,0.256
0.23,0.279
0.24,0.302
0.25,0.327
0.265,0.366
0.288,0.428
0.321,0.534
0.371,0.725
0.421,0.958
0.471,1.235
0.521,1.556
0.571,1.919
0.621,2.334
0.671,2.804
0.721,3.337
0.771,3.935
0.821,4.59
0.871,5.315
0.921,6.115
0.971,6.992
1.021,7.95
1.071,8.995
1.121,10.137
1.171,11.377
1.221,12.722
1.271,14.174
1.321,15.74
1.371,17.417
1.421,19.208
1.471,21.117
1.521,23.141
1.571,25.292
1.621,27.577
1.671,30.008
1.721,32.598
1.771,35.35
1.821,38.268
1.871,41.344
1.921,44.577
1.971,47.977
2.021,51.558
2.071,55.331
2.121,59.309
2.171,63.489
2.221,67.862
2.271,72.429
2.321,77.205
2.371,82.219
2.421,87.47
2.471,92.943
2.521,98.639
2.571,104.583
2.621,110.795
2.671,117.261
2.721,123.973
2.771,130.955
2.82,135.163